B,P,C,X,N,Time
5,1,1,0,1,11.082140
5,1,5,0,1,11.069571
5,5,1,0,1,11.075205
5,5,5,0,1,11.079971
10,1,1,0,1,11.075082
10,1,5,0,1,11.075564
10,1,10,0,1,11.077474
10,5,1,0,1,11.073017
10,5,5,0,1,11.087291
10,5,10,0,1,11.087801
10,10,1,0,1,11.078778
10,10,5,0,1,11.069776
10,10,10,0,1,11.109288
5,1,1,200,1,11.098640
5,1,5,200,1,11.068403
5,5,1,200,1,11.071712
5,5,5,200,1,11.098666
10,1,1,200,1,11.073041
10,1,5,200,1,11.103450
10,1,10,200,1,11.113901
10,5,1,200,1,11.099530
10,5,5,200,1,11.081892
10,5,10,200,1,11.084392
10,10,1,200,1,11.090852
10,10,5,200,1,11.113113
10,10,10,200,1,11.135358
5,1,1,400,1,21.081524
5,1,5,400,1,11.074452
5,5,1,400,1,21.104208
5,5,5,400,1,11.102724
10,1,1,400,1,21.078445
10,1,5,400,1,11.077062
10,1,10,400,1,11.092752
10,5,1,400,1,21.076132
10,5,5,400,1,11.086185
10,5,10,400,1,11.083203
10,10,1,400,1,21.078393
10,10,5,400,1,11.088508
10,10,10,400,1,11.104264
